class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
Curls,0.446225971,0.098897368,-0.409816891,0.999953032,0.454201996,0.082097054,-0.394382656,0.999827743,0.459192187,0.082300425,-0.394433379,0.999801099,0.463849068,0.082784683,-0.39445284,0.999787509,0.440894037,0.083117314,-0.390081167,0.999848723,0.43690747,0.08395955,-0.39012748,0.999839544,0.433150202,0.085297652,-0.390234619,0.999868989,0.473391533,0.091673046,-0.26328674,0.999577224,0.429590315,0.096958846,-0.242982477,0.999757826,0.457001299,0.118393391,-0.357815295,0.999939561,0.44046396,0.119311303,-0.352061003,0.999952674,0.515961111,0.201450959,-0.160236076,0.999834538,0.395037621,0.208386391,-0.131982058,0.999958158,0.524096131,0.332089156,-0.099336162,0.903547943,0.385213792,0.356012553,-0.067538925,0.968509018,0.520197034,0.439662665,-0.223204166,0.813602984,0.378332078,0.481740564,-0.185393795,0.949034691,0.522827268,0.472734302,-0.260437906,0.7600106,0.36736396,0.521876276,-0.220380872,0.912791908,0.518137217,0.471828431,-0.301482052,0.768164873,0.377666801,0.523923337,-0.266490996,0.91766119,0.513733387,0.459498942,-0.241655827,0.740070999,0.383018464,0.509126484,-0.205732584,0.907191038,0.490070641,0.459345192,-0.007488784,0.999611437,0.4237082,0.459749132,0.007307458,0.999674797,0.490862548,0.652006567,-0.055135407,0.991260111,0.422108471,0.654940188,-0.007917124,0.991573095,0.49420777,0.82035625,0.176429868,0.99213022,0.422356606,0.825467229,0.208459347,0.99069351,0.485182375,0.839324832,0.188667491,0.892218113,0.432549298,0.847986042,0.21996288,0.860889614,0.514798045,0.884827018,0.016927844,0.987260461,0.40090555,0.892138422,0.048090849,0.98618269
Curls,0.448712438,0.099311955,-0.457557678,0.999947011,0.455983788,0.082717761,-0.440263897,0.999805272,0.461003304,0.082819514,-0.440302372,0.999775171,0.465409577,0.083168551,-0.440324724,0.999759376,0.442140996,0.083815657,-0.437716544,0.99983412,0.43787542,0.084709972,-0.437787384,0.999826133,0.433790296,0.085988402,-0.437898785,0.999859691,0.473879039,0.091751568,-0.297794908,0.99950254,0.429667175,0.097009189,-0.28514564,0.999738514,0.459744751,0.118776135,-0.401020825,0.999927104,0.441789299,0.119452208,-0.397653639,0.999945641,0.515966535,0.202641755,-0.181369424,0.999778032,0.394095093,0.207897797,-0.166796029,0.999956489,0.520247817,0.335268527,-0.112552419,0.886921465,0.383815587,0.35514766,-0.095447674,0.96753186,0.512091279,0.44418624,-0.237134531,0.768535614,0.379690558,0.480500162,-0.210660458,0.94438982,0.508915246,0.477885723,-0.273913264,0.715866566,0.374821305,0.519408762,-0.248999447,0.905896485,0.505593836,0.48181057,-0.315355718,0.724126816,0.384569585,0.520492375,-0.291745126,0.910970628,0.503232181,0.470339924,-0.2563802,0.697662413,0.389161766,0.506569088,-0.229694083,0.899818778,0.48927626,0.458706856,-0.00746001,0.999552369,0.421171606,0.459658563,0.007279119,0.999653637,0.490048319,0.652100861,-0.026827317,0.990735292,0.421958208,0.655284345,0.003529503,0.991321623,0.49518472,0.823201895,0.197947472,0.991859794,0.423388779,0.827113509,0.226791933,0.990426898,0.486414522,0.842749476,0.209209949,0.889307857,0.432596982,0.847987294,0.238571957,0.858604431,0.514791965,0.885050416,0.025384342,0.986909211,0.402817637,0.892138183,0.057434659,0.985741138
Curls,0.450269997,0.099798709,-0.442972273,0.999935329,0.457236677,0.083442464,-0.425467789,0.999757528,0.462101549,0.083593488,-0.425514281,0.999726117,0.466209352,0.083923958,-0.425538242,0.999692678,0.443336487,0.084162012,-0.422802031,0.999803364,0.438915879,0.084942967,-0.42285338,0.99979651,0.434591204,0.086078785,-0.422956854,0.999833405,0.473915726,0.09203966,-0.275383383,0.999319315,0.429732263,0.096735381,-0.280732572,0.999718308,0.460640043,0.119085982,-0.387501508,0.999900818,0.442561686,0.119460776,-0.38259238,0.999933839,0.514843225,0.202460214,-0.152266413,0.999686539,0.392956555,0.207458794,-0.133279949,0.999955773,0.518582225,0.33520779,-0.242773026,0.872213364,0.38260904,0.353798926,-0.06454841,0.967730939,0.51293385,0.303862631,-0.565939248,0.74533242,0.380064994,0.478528291,-0.167461634,0.94271481,0.503051221,0.259285092,-0.628830433,0.691431522,0.376790345,0.516551197,-0.197326928,0.902104616,0.506114841,0.286467463,-0.645366549,0.699962795,0.386369318,0.517083406,-0.23598507,0.907096684,0.504241288,0.288316578,-0.581148028,0.670358121,0.390783578,0.503636062,-0.182841465,0.894226909,0.489233196,0.457657188,-0.006980444,0.999440074,0.420931876,0.458718747,0.00679669,0.999606073,0.490145743,0.652101696,-0.0196393,0.989880502,0.421955019,0.655085444,0.004638165,0.991212726,0.496043384,0.825789094,0.202890515,0.991387308,0.423852861,0.827975392,0.233692929,0.990064681,0.48739022,0.845885158,0.214470983,0.886661172,0.432395786,0.847888172,0.245330781,0.855482757,0.514832139,0.885172427,0.024957243,0.986349344,0.404497296,0.892161489,0.05818525,0.985060275
Curls,0.45079127,0.099765509,-0.280247539,0.999941051,0.4576208,0.083480798,-0.257188052,0.999778926,0.462426245,0.083610624,-0.257242739,0.999750614,0.466572225,0.083924547,-0.257250667,0.999719799,0.443935961,0.084224202,-0.259198964,0.999819577,0.439554393,0.084991932,-0.259157985,0.999812782,0.435169697,0.086093262,-0.25920096,0.999845862,0.474012136,0.091935195,-0.101659134,0.999379098,0.429804265,0.096302465,-0.113150895,0.999743402,0.461453617,0.118841134,-0.220664412,0.999909759,0.443225771,0.1189401,-0.223916009,0.999939859,0.514576077,0.201466024,-0.012648863,0.999716043,0.392443597,0.204459906,-0.010186475,0.999958992,0.519507766,0.335250497,-0.179794312,0.883513212,0.379964769,0.347590089,0.018669952,0.96847713,0.512228549,0.218810469,-0.498825133,0.77026552,0.379190117,0.476825446,-0.082548037,0.945505202,0.505505741,0.17931889,-0.566418529,0.720988631,0.376022935,0.514384508,-0.110391572,0.905602396,0.507819593,0.168707773,-0.567437232,0.728669405,0.385745466,0.514885843,-0.146052241,0.910177171,0.50515306,0.182079509,-0.50826472,0.701234639,0.390290558,0.501897871,-0.097260885,0.897243798,0.4862203,0.457735121,0.000788351,0.999484301,0.417806447,0.458996683,-0.000931873,0.99963367,0.48933363,0.652572751,0.00244412,0.990045071,0.419676691,0.655098498,0.003270468,0.991385579,0.495860666,0.826161146,0.254630238,0.991349995,0.422087848,0.827800572,0.258339763,0.990226924,0.487009466,0.845734894,0.271174014,0.8884812,0.42983827,0.846512079,0.273961157,0.857282758,0.514698803,0.885248244,0.094452277,0.986493707,0.404444844,0.892162085,0.095077448,0.985273421
Curls,0.450955302,0.10014607,-0.269014925,0.999946356,0.457649052,0.083865777,-0.245921046,0.999798775,0.462473333,0.083912186,-0.245979875,0.999773204,0.466682583,0.08414004,-0.245987743,0.999744892,0.44401294,0.084753133,-0.247705385,0.999834895,0.439671695,0.08551164,-0.247670487,0.999828339,0.435308158,0.086543247,-0.24771598,0.999858081,0.474066824,0.091938749,-0.090995327,0.99943465,0.429802567,0.096301466,-0.100367069,0.999766767,0.462009907,0.118882708,-0.209533051,0.999917924,0.443586498,0.118927546,-0.212471157,0.999945343,0.514389217,0.200320572,-0.00414082,0.999742448,0.392421663,0.203954726,0.000533686,0.999961972,0.519941926,0.335537434,-0.170077026,0.893672347,0.378778785,0.346530527,0.028919499,0.969563305,0.510774255,0.215126306,-0.50135237,0.792695463,0.378624976,0.476275533,-0.073876314,0.948281288,0.506532788,0.175415128,-0.569962025,0.747573495,0.375528306,0.513505638,-0.10221336,0.909132242,0.508832812,0.163122281,-0.570082784,0.754488349,0.385513246,0.513951182,-0.13762857,0.913325548,0.505900502,0.177381918,-0.510691226,0.728983045,0.390007436,0.501204789,-0.088667668,0.900372326,0.485639393,0.459287047,0.002125536,0.999522984,0.417285353,0.461034954,-0.002247417,0.999658406,0.487729162,0.65348655,0.006412084,0.990286291,0.418322802,0.655535758,0.003258066,0.991654754,0.495829433,0.826850235,0.257112861,0.991396427,0.42051062,0.828004181,0.259158045,0.990463495,0.486918211,0.846435487,0.273510873,0.891095638,0.427818239,0.846497953,0.27441144,0.859761536,0.514784157,0.885426283,0.097690143,0.986740232,0.40436253,0.892466664,0.096150205,0.985544443
Curls,0.45090884,0.100425281,-0.381222606,0.999949038,0.457612365,0.083950929,-0.356072038,0.999806523,0.462436914,0.083974712,-0.356138021,0.999784052,0.466659725,0.08417289,-0.356156439,0.99975282,0.443802178,0.084841885,-0.357212365,0.999839604,0.439297199,0.08557184,-0.357185245,0.999833763,0.434710562,0.086582981,-0.357221603,0.999859273,0.473499447,0.091897957,-0.168022975,0.999451578,0.428552479,0.096250676,-0.182106286,0.999779999,0.462038666,0.119121186,-0.314765006,0.999921501,0.443564594,0.119072184,-0.316511452,0.999948144,0.512518108,0.201090142,-0.047854077,0.999751031,0.387604177,0.203976914,-0.03836767,0.999963462,0.519578397,0.336618155,-0.263793617,0.896675169,0.378299594,0.346885502,-0.010045772,0.970137656,0.50946033,0.268172354,-0.62250483,0.805796802,0.378105342,0.475633204,-0.106552161,0.948895574,0.503937006,0.242818058,-0.691616416,0.760768473,0.375167847,0.512876153,-0.121948496,0.909463942,0.505826175,0.229634538,-0.698560417,0.767154515,0.385216147,0.513004601,-0.145759672,0.913456321,0.503998518,0.236738905,-0.634765983,0.739572823,0.38977474,0.500017762,-0.111253068,0.899596035,0.483772129,0.459241301,0.001262401,0.999525666,0.414904356,0.461052269,-0.001390921,0.999658823,0.486841261,0.653565228,-0.005060698,0.990008712,0.415835917,0.655497253,0.010268525,0.991812706,0.495812356,0.826782167,0.249577194,0.99125731,0.419672549,0.827595651,0.280372798,0.990443707,0.486932933,0.846467316,0.264998525,0.889695168,0.427021682,0.845534325,0.295781434,0.860263646,0.514631331,0.885451436,0.077892676,0.986566246,0.40430665,0.892420769,0.108970784,0.985444486
Curls,0.449932873,0.100446306,-0.396432698,0.999951839,0.456366241,0.083951794,-0.372905076,0.999814868,0.461495221,0.083974488,-0.3729828,0.9997949,0.466008186,0.084169887,-0.372983754,0.999761581,0.44172588,0.08484482,-0.373646408,0.999845445,0.436882496,0.085571103,-0.373623461,0.999840021,0.432275355,0.086573884,-0.373663336,0.999861717,0.472320974,0.091819599,-0.185769618,0.999468148,0.425914824,0.095997795,-0.201886132,0.999792397,0.46135062,0.119127132,-0.331801176,0.999925017,0.442033947,0.11906901,-0.332673043,0.999950647,0.510039568,0.201189384,-0.067581974,0.999760628,0.383497745,0.204067767,-0.045584414,0.999965191,0.518854916,0.336209923,-0.238908455,0.897800744,0.376722991,0.347945094,-0.020664034,0.970998287,0.509350896,0.279999614,-0.587221622,0.815114319,0.377509564,0.475389332,-0.122774258,0.950469553,0.505201638,0.254082203,-0.654003561,0.770010352,0.374903858,0.512947321,-0.148941964,0.911569297,0.506473064,0.24867028,-0.668399632,0.776251256,0.385020018,0.513084829,-0.186107621,0.915393949,0.513421357,0.250384152,-0.601931214,0.746765792,0.389598936,0.499873489,-0.136404321,0.901078641,0.482033163,0.459465295,0.00100848,0.999524415,0.412603378,0.461519241,-0.001140162,0.999659598,0.485516608,0.653560936,0.012979025,0.989272833,0.41442734,0.655538201,0.018978145,0.991900682,0.495368481,0.82721889,0.260963887,0.990964234,0.418419451,0.827588499,0.286859274,0.990416527,0.486652941,0.847027123,0.275117725,0.887369752,0.42564863,0.845412374,0.301998526,0.860992193,0.514722407,0.885596633,0.087645695,0.98621273,0.404110193,0.892399192,0.116474465,0.985437632
Curls,0.44484663,0.099634856,-0.367025077,0.999955714,0.45115453,0.083211333,-0.346036375,0.999829471,0.456583351,0.083268471,-0.3460958,0.999811292,0.461799443,0.083454341,-0.346075237,0.999781072,0.436089218,0.084057413,-0.345941007,0.999856472,0.43135184,0.084708259,-0.345927417,0.999851048,0.427104652,0.085396625,-0.345933914,0.999870718,0.468810022,0.091120034,-0.1925046,0.999510527,0.420914739,0.094094969,-0.195144758,0.999803185,0.456760794,0.118764825,-0.31015712,0.999931037,0.436109006,0.118720815,-0.309973001,0.999954104,0.507428527,0.200348333,-0.086994775,0.999782443,0.380135268,0.204069883,-0.052317806,0.999965608,0.518971801,0.327814072,-0.09154693,0.905977368,0.375636309,0.3479532,-0.023263618,0.971867919,0.517148852,0.413743645,-0.290979803,0.831400931,0.376446277,0.474766672,-0.149508685,0.952738822,0.522997856,0.448172092,-0.343103111,0.789065361,0.374702215,0.512283564,-0.195469081,0.915501118,0.516805887,0.444924623,-0.38805759,0.794878662,0.384765685,0.511782765,-0.238190085,0.919180095,0.515791655,0.433805317,-0.312942684,0.76727134,0.388965547,0.498583913,-0.168381676,0.905341089,0.47969541,0.459255785,0.000587817,0.999552608,0.410160124,0.461456656,-0.000730781,0.999673545,0.482789338,0.653820932,0.004068573,0.989508092,0.413038969,0.655880928,0.017003398,0.991926074,0.495257467,0.827145994,0.242223665,0.991006196,0.41791743,0.827645242,0.241839647,0.990411699,0.486635447,0.84692353,0.250477731,0.886491835,0.424855798,0.845344722,0.252942562,0.859843493,0.514753222,0.885600746,0.070194095,0.986327171,0.404074758,0.892858922,0.077913269,0.985535383
Curls,0.441693962,0.098829538,-0.37333256,0.999958873,0.447865576,0.082170852,-0.352597594,0.999841273,0.45338425,0.082124628,-0.352649897,0.999824882,0.458851874,0.082203507,-0.352609724,0.999797463,0.432522386,0.083288863,-0.353208333,0.99986428,0.427819401,0.083974496,-0.353193521,0.999858618,0.42371726,0.084573239,-0.353189677,0.999876082,0.465774477,0.089992642,-0.205322936,0.999546111,0.417232662,0.093151674,-0.208835363,0.999806345,0.453688473,0.118238918,-0.317613333,0.999935985,0.432422221,0.11843881,-0.318223685,0.999956429,0.506558537,0.200296238,-0.101104125,0.999801934,0.378200352,0.20411706,-0.099472567,0.999964535,0.516288936,0.327939391,-0.07607086,0.913595438,0.375377029,0.34812817,-0.046545796,0.971764028,0.518497109,0.448086649,-0.247913629,0.846286893,0.375572294,0.474824965,-0.168890923,0.953424454,0.527254701,0.48578468,-0.294780731,0.806419551,0.374014199,0.512379229,-0.212687209,0.917006195,0.519863725,0.48453486,-0.341606557,0.811888337,0.383730888,0.512046874,-0.259196699,0.920690835,0.516035974,0.475383252,-0.269868374,0.78612262,0.387739867,0.498781681,-0.18977651,0.907132268,0.477678955,0.459605128,0.00164347,0.999575973,0.40841189,0.461846262,-0.001806626,0.999683142,0.481619686,0.655212581,0.003566625,0.989511907,0.412629455,0.656464756,0.016058762,0.991759658,0.495182514,0.828189254,0.23610194,0.990899861,0.417726576,0.828249633,0.236895531,0.990175962,0.486556113,0.848072469,0.246580839,0.885030687,0.42444405,0.845526278,0.248446494,0.856511831,0.51485312,0.885604024,0.066312224,0.986259639,0.404022694,0.893299103,0.07163094,0.985336244
Curls,0.440131485,0.09942653,-0.416608095,0.99996227,0.446492136,0.082419157,-0.396856785,0.999853969,0.452103138,0.082377315,-0.396889746,0.999839246,0.457625091,0.082438298,-0.396857321,0.999814391,0.431234926,0.083526298,-0.396375835,0.999873459,0.426636994,0.084187239,-0.396372676,0.999867857,0.422581971,0.084763139,-0.396394879,0.999882996,0.464683384,0.090071753,-0.251389384,0.999584436,0.416600525,0.093185067,-0.250480175,0.999813974,0.452283293,0.118922323,-0.360388011,0.999941409,0.430906057,0.119341351,-0.360145241,0.999959409,0.506643534,0.203622594,-0.142254859,0.999820411,0.37774381,0.204097614,-0.147969544,0.999963939,0.51397419,0.34756431,-0.08169058,0.921320915,0.37558037,0.348345309,-0.086371109,0.971686602,0.518308103,0.479671866,-0.220343634,0.860759914,0.374492258,0.475367129,-0.208818361,0.954403758,0.526175201,0.517255008,-0.262837499,0.823790491,0.372857898,0.513120592,-0.252058387,0.919124544,0.519415259,0.514845788,-0.310237527,0.828852117,0.382750452,0.512470424,-0.300435811,0.922796011,0.515900791,0.503642261,-0.241134435,0.805154264,0.386819303,0.499324381,-0.230506092,0.909658015,0.474596202,0.463706315,0.004486678,0.999602735,0.407145739,0.464098096,-0.004660048,0.999695301,0.481639862,0.658559799,0.01916617,0.989486992,0.411665916,0.658681631,0.013870226,0.991663039,0.495166838,0.82838887,0.264015853,0.990746856,0.417513192,0.828894436,0.250047863,0.989901245,0.486548036,0.848168612,0.277478874,0.885237336,0.423856318,0.845776796,0.263756067,0.853439689,0.514854729,0.886114419,0.100190297,0.98612684,0.404185206,0.894468606,0.085859202,0.985008478
